Time (s),Channel 1 (V),Channel 2 (V)
0.002414859271523179,-0.5772238485561448,4.456797123654958
0.002421109271523179,-0.5768844590669563,4.440241823252472
0.002427359271523179,-0.5768844590669563,4.420645753388304
0.002433609271523179,-0.5765450695777676,4.398684640609496
0.002439859271523179,-0.5765450695777676,4.373007031821967
0.002446109271523179,-0.5762056800885791,4.344964380119796
0.002452359271523179,-0.5758662905993905,4.313543095682425
0.002458609271523179,-0.575526901110202,4.279418905056891
0.002464859271523179,-0.5748481221318248,4.243267534790238
0.002471109271523178,-0.5748481221318248,4.204075395061904
0.002477359271523179,-0.5741693431534476,4.161504622598367
0.002483609271523179,-0.573829953664259,4.116906670493711
0.002489859271523179,-0.5731511746858818,4.069943675474414
0.002496109271523179,-0.5724723957075047,4.020615637540475
0.002502359271523179,-0.5717936167291275,3.968584693418375
0.002508609271523179,-0.5711148377507504,3.914526569655155
0.002514859271523179,-0.5704360587723732,3.858779129524335
0.002521109271523179,-0.569757279793996,3.799990919931832
0.002527359271523179,-0.5687391113264303,3.73951339397173
0.002533609271523179,-0.5680603323480532,3.677346551644026
0.002539859271523179,-0.567381553369676,3.613490392948723
0.002546109271523178,-0.5663633849021102,3.547607054612298
0.002552359271523179,-0.5656846059237332,3.480372263181793
0.002558609271523179,-0.5646664374561674,3.411110292110167
0.002564859271523179,-0.5639876584777902,3.340496867944461
0.002571109271523179,-0.5629694900102244,3.268869853958194
0.002577359271523178,-0.5619513215426587,3.195891386877847
0.002583609271523179,-0.5609331530750929,3.122237193250459
0.002589859271523179,-0.5595755951183387,3.047231546528991
0.002596109271523179,-0.5585574266507729,2.972225899807523
0.002602359271523179,-0.5575392581832072,2.895193073444934
0.002608609271523179,-0.5558423107372643,2.818160247082345
0.002614859271523179,-0.5548241422696986,2.739775967625676
0.002621109271523179,-0.5531271948237556,2.662067414716047
0.002627359271523179,-0.5514302473778128,2.583683135259378
0.002633609271523179,-0.5500726894210584,2.504960992529189
0.002639859271523179,-0.5487151314643041,2.42657671307252
0.002646109271523179,-0.5473575735075498,2.34751670706881
0.002652359271523178,-0.5456606260616068,2.269470290885661
0.002658609271523179,-0.543963678615664,2.191423874702512
0.002664859271523179,-0.5426061206589097,2.113377458519362
0.002671109271523179,-0.5409091732129667,2.037696085250854
0.002677359271523179,-0.5388728362778352,1.961001122161786
